,,,Normalised retweets,Norm likes,weighted score,,SQUARED ERROR,,,,SUMS,,,,MSE,,
3.86E-01,3.43E-01,4.94E-01,0.21706515,0.34269982,0.254755551,,2.84E-02,2.74E-07,5.71E-02,,,,,,,,
2.84E-01,2.48E-01,3.75E-01,0.206440909,0.360567107,0.252678768,,5.98E-03,1.27E-02,1.51E-02,,,,,,,,
3.32E-01,2.92E-01,4.32E-01,0.248973425,0.260829628,0.252530285,,6.84E-03,9.91E-04,3.24E-02,,,,,,,,
3.06E-01,2.69E-01,4.02E-01,0.248078689,0.26193242,0.252234809,,3.39E-03,4.49E-05,2.26E-02,,,,,,,,
1.76E-01,1.50E-01,2.39E-01,0.245779634,0.261100848,0.250375998,,4.90E-03,1.22E-02,1.36E-04,,,,,,,,
1.73E-01,1.48E-01,2.35E-01,0.221918052,0.309805387,0.248284252,,2.36E-03,2.61E-02,1.64E-04,,,,,,,,
1.31E-01,1.11E-01,1.79E-01,0.218499096,0.316248151,0.247823813,,7.60E-03,4.19E-02,4.70E-03,,,,,,,,
9.23E-02,7.77E-02,1.26E-01,0.209344355,0.337127008,0.247679151,,1.37E-02,6.73E-02,1.48E-02,,,,,,,,
1.76E-01,1.50E-01,2.39E-01,0.19280064,0.372731087,0.246779774,,2.89E-04,4.94E-02,6.50E-05,,,,,,,,
2.33E-01,2.02E-01,3.13E-01,0.204325541,0.345522048,0.246684493,,8.23E-04,2.07E-02,4.35E-03,,,,,,,,
3.06E-01,2.68E-01,4.02E-01,0.195798892,0.364279756,0.246343151,,1.20E-02,9.28E-03,2.41E-02,,,,,,,,
2.35E-01,2.03E-01,3.15E-01,0.201090273,0.350450072,0.245898213,,1.14E-03,2.16E-02,4.78E-03,,,,,,,,
3.28E-01,2.89E-01,4.28E-01,0.207193435,0.325390327,0.242652502,,1.45E-02,1.35E-03,3.43E-02,,,,,,,,
2.11E-01,1.82E-01,2.85E-01,0.192332533,0.354091079,0.240860097,,3.53E-04,2.97E-02,1.92E-03,,,,,,,,
4.15E-01,3.72E-01,5.26E-01,0.211921903,0.3075256,0.240603012,,4.14E-02,4.14E-03,8.16E-02,,,,,,,,
3.11E-01,2.73E-01,4.08E-01,0.17313424,0.389777036,0.238127079,,1.90E-02,1.36E-02,2.89E-02,,,,,,,,
1.76E-01,1.50E-01,2.39E-01,0.189180221,0.349127233,0.237164325,,1.79E-04,3.95E-02,2.41E-06,,,,,,,,
1.66E-01,1.41E-01,2.25E-01,0.195733713,0.330968257,0.236304076,,9.06E-04,3.59E-02,1.22E-04,,,,,,,,
1.64E-01,1.40E-01,2.23E-01,0.174425977,0.379890284,0.236065269,,1.06E-04,5.75E-02,1.64E-04,,,,,,,,
6.66E-02,5.58E-02,9.03E-02,0.177945664,0.370034235,0.235572235,,1.24E-02,9.88E-02,2.11E-02,,,,,,,,
8.30E-03,6.85E-03,1.03E-02,0.197742423,0.320723289,0.234636683,,3.59E-02,9.85E-02,5.03E-02,,,,,,,,
2.68E-01,2.33E-01,3.56E-01,0.171564009,0.381768357,0.234625314,,9.26E-03,2.21E-02,1.47E-02,,,,,,,,
3.27E-01,2.88E-01,4.27E-01,0.193553166,0.322982606,0.232381998,,1.77E-02,1.25E-03,3.77E-02,,,,,,,,
2.41E-01,2.09E-01,3.22E-01,0.185547951,0.336748323,0.230908063,,3.04E-03,1.64E-02,8.36E-03,,,,,,,,
1.29E-01,1.09E-01,1.76E-01,0.174799277,0.359331263,0.230158873,,2.11E-03,6.25E-02,2.94E-03,,,,,,,,
3.03E-01,2.66E-01,3.99E-01,0.183479987,0.335041681,0.228948495,,1.44E-02,4.77E-03,2.89E-02,,,,,,,,
3.66E-01,3.25E-01,4.72E-01,0.170959618,0.364008536,0.228874294,,3.81E-02,1.55E-03,5.90E-02,,,,,,,,
8.18E-02,6.87E-02,1.11E-01,0.196083311,0.299092179,0.226985972,,1.31E-02,5.31E-02,1.34E-02,,,,,,,,
2.21E-01,1.91E-01,2.98E-01,0.179865493,0.336134239,0.226746117,,1.72E-03,2.10E-02,5.06E-03,,,,,,,,
1.79E-01,1.53E-01,2.42E-01,0.245892217,0.175413099,0.224748482,,4.52E-03,5.04E-04,3.13E-04,,,,,,,,
6.59E-02,5.52E-02,8.93E-02,0.197706871,0.287143128,0.224537748,,1.74E-02,5.38E-02,1.83E-02,,,,,,,,
2.19E-01,2.24E-01,3.19E-01,0.177910112,0.331582341,0.22401178,,1.71E-03,1.16E-02,8.93E-03,,,,,,,,
1.61E-01,1.37E-01,2.19E-01,0.176713181,0.332224571,0.223366598,,2.46E-04,3.79E-02,1.78E-05,,,,,,,,
3.52E-01,3.11E-01,4.56E-01,0.178295263,0.328383987,0.22332188,,3.01E-02,2.96E-04,5.39E-02,,,,,,,,
2.24E-01,1.94E-01,3.01E-01,0.198423844,0.279625716,0.222784405,,6.61E-04,7.40E-03,6.17E-03,,,,,,,,
9.17E-02,7.72E-02,1.25E-01,0.18842177,0.301668773,0.222395871,,9.36E-03,5.04E-02,9.48E-03,,,,,,,,
2.00E-01,1.72E-01,2.70E-01,0.176132492,0.326564763,0.221262173,,5.53E-04,2.40E-02,2.37E-03,,,,,,,,
2.42E-01,2.10E-01,3.24E-01,0.180967618,0.314735969,0.221098123,,3.74E-03,1.10E-02,1.06E-02,,,,,,,,
7.77E-02,6.52E-02,1.06E-01,0.174959263,0.326894833,0.220539934,,9.46E-03,6.85E-02,1.32E-02,,,,,,,,
2.54E-01,2.20E-01,3.38E-01,0.170319675,0.333905626,0.21939546,,6.95E-03,1.29E-02,1.42E-02,,,,,,,,
1.71E-01,1.46E-01,2.33E-01,0.171777323,0.326810396,0.218287245,,2.93E-07,3.25E-02,2.08E-04,,,,,,,,
2.61E-01,2.27E-01,3.48E-01,0.173306076,0.31733815,0.216515699,,7.68E-03,8.17E-03,1.72E-02,,,,,,,,
3.69E-01,3.27E-01,4.75E-01,0.163878766,0.339076725,0.216438154,,4.21E-02,1.34E-04,6.69E-02,,,,,,,,
