weighted score,Normalised retweets,Norm likes,,weighted score,Normalised retweets,Norm likes,,SQUARED ERROR,,,,SUM,,,,MSE,,
1.31E-01,8.51E-02,1.33E-01,,0.371566252,0.252214618,0.359976539,,0.057729024,0.027935735,0.051434511,,,,,,,,
4.12E-02,2.80E-02,4.12E-02,,0.355821213,0.206440909,0.359920191,,0.098967448,0.031856518,0.101611789,,,,,,,,
1.65E-01,9.46E-02,1.66E-01,,0.357046753,0.212307054,0.358928978,,0.036959351,0.013857869,0.037068612,,,,,,,,
6.76E-02,4.75E-02,6.76E-02,,0.338791695,0.160442035,0.358342447,,0.073521274,0.012762394,0.084517218,,,,,,,,
6.73E-01,3.56E-01,6.82E-01,,0.345848204,0.183391106,0.357315377,,0.106969558,0.029914533,0.105668418,,,,,,,,
1.40E-01,7.99E-02,1.41E-01,,0.331879487,0.150967321,0.353727035,,0.036880948,0.00504581,0.045233336,,,,,,,,
1.08E-01,6.14E-02,1.08E-01,,0.338696172,0.172512073,0.353004756,,0.053378658,0.012356202,0.059835608,,,,,,,,
3.79E-01,2.32E-01,3.83E-01,,0.328782102,0.145747045,0.352080137,,0.002474776,0.007356726,0.00097052,,,,,,,,
6.57E-02,3.53E-02,6.30E-02,,0.345949824,0.201090273,0.349792921,,0.078530939,0.027487853,0.082225728,,,,,,,,
1.96E-01,1.04E-01,1.98E-01,,0.333056249,0.164809054,0.34922688,,0.01865594,0.003715546,0.022751762,,,,,,,,
2.16E-01,1.23E-01,2.18E-01,,0.342815856,0.208574053,0.342608553,,0.016069953,0.007309023,0.015427153,,,,,,,,
5.12E-03,3.21E-03,5.02E-03,,0.311392848,0.128581163,0.337585899,,0.09380462,0.015716719,0.110600301,,,,,,,,
5.17E-02,5.70E-02,5.07E-02,,0.33521263,0.198382366,0.337432222,,0.080399328,0.019992992,0.082188735,,,,,,,,
5.50E-02,3.22E-02,5.51E-02,,0.327670376,0.183479987,0.334368941,,0.074353394,0.022900095,0.078007571,,,,,,,,
9.04E-02,5.05E-02,9.08E-02,,0.348736251,0.247865375,0.333085744,,0.066763369,0.038967832,0.058682489,,,,,,,,
1.41E-01,8.27E-02,1.42E-01,,0.315935272,0.154978817,0.331899875,,0.030642365,0.005225597,0.036021671,,,,,,,,
3.44E-02,2.14E-02,3.43E-02,,0.323111693,0.176713181,0.33154898,,0.083363628,0.024134175,0.088367341,,,,,,,,
2.19E-02,2.10E-02,2.15E-02,,0.346693684,0.246591414,0.331062339,,0.105464925,0.050904229,0.095840585,,,,,,,,
2.51E-01,1.40E-01,2.54E-01,,0.315921045,0.158984387,0.330150526,,0.004179824,0.00037489,0.005773765,,,,,,,,
6.96E-02,3.90E-02,6.70E-02,,0.330432414,0.201961307,0.329861102,,0.068034527,0.02654378,0.06910789,,,,,,,,
4.36E-02,2.50E-02,4.35E-02,,0.316740104,0.166106716,0.32810407,,0.074630157,0.019913014,0.080973012,,,,,,,,
5.35E-02,3.55E-02,5.56E-02,,0.329601161,0.208870323,0.325827099,,0.07624311,0.030049037,0.073040851,,,,,,,,
4.61E-02,3.72E-02,4.58E-02,,0.345327908,0.257417118,0.32466172,,0.089531314,0.048487766,0.077760969,,,,,,,,
7.51E-02,4.35E-02,7.81E-02,,0.339324185,0.24074897,0.324300581,,0.069807783,0.038898846,0.060638272,,,,,,,,
4.19E-01,2.48E-01,4.24E-01,,0.332086792,0.219998222,0.324149466,,0.007541343,0.000788848,0.00989949,,,,,,,,
4.68E-02,3.25E-02,4.68E-02,,0.318855837,0.182063817,0.323872848,,0.074018873,0.022362933,0.076769676,,,,,,,,
1.16E-01,7.04E-02,1.17E-01,,0.306435813,0.148579386,0.322694663,,0.036276729,0.00610845,0.042360332,,,,,,,,
3.20E-02,3.60E-02,3.29E-02,,0.307171543,0.155014369,0.320840302,,0.075740387,0.014172539,0.08288812,,,,,,,,
2.57E-02,1.55E-02,2.56E-02,,0.321189038,0.197742423,0.320036063,,0.087305678,0.033227193,0.086715534,,,,,,,,
1.58E-02,2.33E-02,1.52E-02,,0.32104677,0.201629485,0.318176579,,0.093200816,0.031792784,0.09177444,,,,,,,,
1.60E-01,9.05E-02,1.61E-01,,0.299789849,0.140888217,0.317643835,,0.019513625,0.002536137,0.024416246,,,,,,,,
5.49E-02,4.31E-02,5.51E-02,,0.335265473,0.249127485,0.315564082,,0.07859944,0.042449233,0.067821735,,,,,,,,
7.71E-02,3.92E-02,7.72E-02,,0.305248888,0.162658134,0.315113298,,0.0520573,0.015251643,0.056607309,,,,,,,,
2.21E-02,2.04E-02,2.16E-02,,0.325253847,0.222214322,0.314580553,,0.091928996,0.040726828,0.085820827,,,,,,,,
2.95E-02,3.31E-02,2.89E-02,,0.312541156,0.185186502,0.314565186,,0.080107457,0.023142444,0.081619907,,,,,,,,
4.51E-02,3.15E-02,4.54E-02,,0.310679474,0.180967618,0.314042686,,0.070527657,0.022339019,0.07214822,,,,,,,,
1.55E-01,9.17E-02,1.57E-01,,0.32726796,0.229935117,0.313781436,,0.029606545,0.019100544,0.024648724,,,,,,,,
1.72E-01,1.20E-01,1.75E-01,,0.322747892,0.217077001,0.313643128,,0.022709464,0.009404523,0.019221814,,,,,,,,
3.30E-02,3.24E-02,3.24E-02,,0.313089905,0.189672029,0.313317846,,0.078460224,0.02474944,0.078891436,,,,,,,,
4.98E-02,2.71E-02,4.78E-02,,0.318965587,0.210132433,0.311878411,,0.072429003,0.03348862,0.069750663,,,,,,,,
6.68E-02,3.74E-02,6.70E-02,,0.291416342,0.135004296,0.309634737,,0.050458734,0.009520672,0.058878253,,,,,,,,
1.78E-01,9.72E-02,1.80E-01,,0.299688229,0.160003555,0.309253107,,0.014766384,0.003944477,0.016736466,,,,,,,,
2.30E-01,1.36E-01,2.32E-01,,0.320808978,0.221918052,0.309107115,,0.008327197,0.007360985,0.00590119,,,,,,,,
3.65E-02,2.49E-02,3.63E-02,,0.289843261,0.136616005,0.306955646,,0.06419498,0.012477093,0.073232095,,,,,,,,
1.41E-01,7.53E-02,1.42E-01,,0.306803678,0.186199745,0.306896737,,0.027500802,0.012303102,0.027238661,,,,,,,,
1.50E-01,8.71E-02,1.52E-01,,0.322808865,0.239196516,0.304158737,,0.029725742,0.023146933,0.023228106,,,,,,,,
3.41E-02,1.92E-02,3.40E-02,,0.294202769,0.16319142,0.30096227,,0.067654094,0.020733907,0.071278374,,,,,,,,
1.78E-01,1.02E-01,1.80E-01,,0.308045477,0.20467514,0.300475628,,0.016997263,0.010456365,0.014631682,,,,,,,,
2.44E-01,1.12E-01,2.48E-01,,0.294369426,0.165988208,0.299963374,,0.002575172,0.00289735,0.002724821,,,,,,,,
5.72E-02,3.55E-02,5.74E-02,,0.283711496,0.137812935,0.298710912,,0.051298566,0.010461087,0.058252738,,,,,,,,
7.00E-02,4.26E-02,7.03E-02,,0.286087377,0.146138121,0.298106452,,0.046693609,0.010713735,0.051909003,,,,,,,,
1.57E-03,1.95E-03,1.49E-03,,0.268633086,0.096109975,0.297735067,,0.071323983,0.008866451,0.087761846,,,,,,,,
2.98E-01,1.74E-01,3.02E-01,,0.297190404,0.181216484,0.29693595,,1.52288E-06,5.12436E-05,2.62257E-05,,,,,,,,
9.12E-02,5.39E-02,9.17E-02,,0.294910046,0.177364975,0.29572703,,0.041497418,0.015248933,0.041647181,,,,,,,,
1.75E-01,1.11E-01,1.77E-01,,0.35323193,0.350179243,0.294525793,,0.031709812,0.057292475,0.013767173,,,,,,,,
8.73E-02,4.99E-02,8.77E-02,,0.289890006,0.165834148,0.294384923,,0.041033331,0.013431917,0.042701882,,,,,,,,
1.96E-01,1.16E-01,1.98E-01,,0.311041242,0.23309928,0.291964521,,0.013234441,0.013819155,0.008797428,,,,,,,,
3.76E-02,2.66E-02,3.74E-02,,0.287286496,0.166485942,0.290822194,,0.062354719,0.019561359,0.064236925,,,,,,,,
6.68E-03,1.13E-02,6.35E-03,,0.2794719,0.14523746,0.290158824,,0.074417673,0.017934339,0.080544822,,,,,,,,
1.17E-01,6.94E-02,1.22E-01,,0.279230044,0.148134981,0.288601571,,0.026392501,0.006194608,0.027899536,,,,,,,,
2.34E-02,1.81E-02,2.23E-02,,0.270135033,0.123070542,0.287974059,,0.0608696,0.011024846,0.070567678,,,,,,,,
1.74E-01,1.01E-01,1.76E-01,,0.267352671,0.115622315,0.287687197,,0.008741387,0.000222195,0.012554721,,,,,,,,
8.53E-02,5.39E-02,8.63E-02,,0.277971985,0.14715729,0.287438754,,0.037106903,0.008703177,0.040449989,,,,,,,,
1.06E-01,5.38E-02,1.02E-01,,0.281447397,0.160193168,0.28618373,,0.030830904,0.01131249,0.033917744,,,,,,,,
5.24E-01,3.28E-01,5.39E-01,,0.279768631,0.155387669,0.286145311,,0.059743034,0.029960885,0.064102701,,,,,,,,
5.87E-02,3.52E-02,5.64E-02,,0.287625907,0.181252037,0.284867236,,0.052406365,0.021334806,0.052205212,,,,,,,,
1.86E-01,1.08E-01,1.88E-01,,0.276925297,0.15020887,0.284800643,,0.008259203,0.001780229,0.009396998,,,,,,,,
9.45E-02,5.74E-02,9.52E-02,,0.254270082,0.086048648,0.283983598,,0.025514537,0.000821711,0.035639122,,,,,,,,
5.92E-02,4.09E-02,5.98E-02,,0.272376775,0.139608331,0.283650632,,0.045442239,0.009734647,0.050120571,,,,,,,,
2.94E-02,2.05E-02,2.92E-02,,0.27462055,0.146357361,0.283560988,,0.060143888,0.015850415,0.064704364,,,,,,,,
8.27E-02,5.22E-02,8.32E-02,,0.274795337,0.15265606,0.281058625,,0.036899852,0.010088563,0.03915962,,,,,,,,
1.48E-01,8.20E-02,1.49E-01,,0.262342793,0.119248659,0.279806163,,0.013149367,0.001390861,0.017164512,,,,,,,,
1.63E-01,9.77E-02,1.65E-01,,0.267159593,0.133961426,0.279516739,,0.010795553,0.001316972,0.013121499,,,,,,,,
7.93E-02,4.82E-02,7.97E-02,,0.264082532,0.125600687,0.279252928,,0.034134677,0.005995069,0.039808517,,,,,,,,
1.94E-01,1.06E-01,1.95E-01,,0.268263188,0.138298818,0.279032659,,0.00556867,0.001053133,0.007010008,,,,,,,,
6.83E-02,4.23E-02,7.12E-02,,0.265076378,0.1291263,0.278981433,,0.038718564,0.007538945,0.043173196,,,,,,,,
1.14E-01,6.54E-02,1.14E-01,,0.27622615,0.162764791,0.27849223,,0.026414075,0.00948799,0.026926023,,,,,,,,
1.34E-01,7.58E-02,1.35E-01,,0.262401733,0.126323586,0.276822281,,0.016554752,0.002552869,0.020181084,,,,,,,,
5.28E-02,3.00E-02,5.29E-02,,0.255664312,0.106757918,0.276788984,,0.041136794,0.005891893,0.05013351,,,,,,,,
1.02E-01,5.91E-02,1.02E-01,,0.272588145,0.156863094,0.27645858,,0.029258995,0.009554318,0.03035071,,,,,,,,
1.74E-01,8.78E-02,1.75E-01,,0.265730812,0.137297425,0.276274169,,0.008503667,0.00244763,0.010311638,,,,,,,,
1.28E-01,7.69E-02,1.30E-01,,0.279004447,0.176037686,0.27625624,,0.022653168,0.009834354,0.021483543,,,,,,,,
1.18E-01,7.91E-02,1.24E-01,,0.255940719,0.10902142,0.276158912,,0.018928281,0.00089248,0.023186485,,,,,,,,
4.54E-02,3.84E-02,4.49E-02,,0.300108937,0.242052558,0.274317357,,0.064884871,0.041472226,0.052610309,,,,,,,,
6.54E-02,4.13E-02,6.60E-02,,0.259802288,0.124735579,0.274232835,,0.037794076,0.00696893,0.043366872,,,,,,,,
4.75E-02,2.72E-02,4.75E-02,,0.264350809,0.138920985,0.273833277,,0.047021664,0.012471948,0.051233393,,,,,,,,
6.92E-02,4.61E-02,6.94E-02,,0.261224971,0.131117234,0.273267235,,0.036884131,0.00723526,0.041569637,,,,,,,,
3.01E-01,1.76E-01,3.05E-01,,0.274651036,0.17239949,0.272342616,,0.000718952,9.8776E-06,0.001067812,,,,,,,,
1.38E-01,7.61E-02,1.39E-01,,0.264921915,0.144727876,0.272042947,,0.016146377,0.004703052,0.017722347,,,,,,,,
3.35E-01,1.96E-01,3.39E-01,,0.245347826,0.094747134,0.268979666,,0.007958994,0.010239014,0.004893897,,,,,,,,
3.09E-01,1.59E-01,3.13E-01,,0.255418391,0.124865938,0.268651823,,0.002884577,0.001164359,0.001993921,,,,,,,,
1.28E-01,7.01E-02,1.28E-01,,0.266917736,0.159114745,0.268339348,,0.019424299,0.007932327,0.01955924,,,,,,,,
2.45E-01,1.52E-01,2.49E-01,,0.264336582,0.153598199,0.267471077,,0.000357016,2.81378E-06,0.000331275,,,,,,,,
5.77E-02,3.01E-02,5.53E-02,,0.257816628,0.136639706,0.266584877,,0.040060041,0.011357872,0.044659316,,,,,,,,
7.14E-02,4.27E-02,7.17E-02,,0.253196973,0.12326608,0.266543896,,0.033052796,0.006495487,0.03798231,,,,,,,,
2.34E-02,1.47E-02,2.41E-02,,0.263373223,0.153100465,0.266472181,,0.057589357,0.019166991,0.058723248,,,,,,,,
2.45E-02,1.49E-02,2.44E-02,,0.244553156,0.098693449,0.266272402,,0.048440061,0.007013543,0.058522147,,,,,,,,
